,Age.Participant.Public.ID,Gender_score,Age_score,Ethnicity_score,English_score,Education_score
1,5e8a066ae2eb0669f756253a,2,19,1,2,1
2,5f52b90347e7995be3eba0ec,2,23,1,2,1
3,603573725381cdf7caa389e7,2,19,1,2,1
4,5fabbb46e0a293000a38b821,2,21,1,2,1
5,5b7831daf0133200017d8730,2,41,1,2,4
6,5f9c3936ed8d1b09b4fdf432,1,21,1,2,4
7,5f74edb3c9cecf13f11729d2,1,55,1,2,1
8,5c1ed63210140800013f5ffb,2,44,1,2,3
9,5e1647f6f52510000a7389b6,2,36,1,2,3
10,604bbda441c5266414087bac,1,21,1,2,1
11,5d5106b390d5460001e2ca28,2,22,1,2,1
12,5f68ac7421c364000977cd01,2,26,1,2,1
13,5f131059a6b4b02d79d2b45b,2,19,1,2,1
14,5f6f998e56207e5426232aa9,1,19,1,2,1
15,5c73f003181ad3001133614c,1,28,1,2,2
16,5fc10a0a31a39e0a308b6194,NA,22,4,2,1
17,5c196bce5ead950001bda707,2,22,1,1,1
18,603775baf05681b5cd4c5794,2,18,Other,2,1
20,5b8c1a2d2c54a1000132d007,2,40,4,1,4
21,5f084f27b8ce4203b837629d,1,25,4,1,4
23,6082f47fae3297bd529641c6,1,22,Other,2,1
24,5ea96335f1853407044dfc36,2,20,1,2,1
25,5f554006b51dbe0fa5eb9ed9,2,25,1,2,1
26,5cf9316cd80e0b0019f490e7,1,23,1,2,3
28,5d7367c6be1c6d001a50531d,2,18,1,2,3
29,5f7c36577faf1c01b71e2472,1,31,1,2,1
30,5e3da2a0d53178012dfeeb7e,1,21,1,2,2
31,5fc6b25adb97a63895d5435f,2,20,1,2,1
32,5f9ea8fc2225544484f9c203,2,20,1,2,Other
33,5f0e4bf8c7f97e18fb4473a7,2,25,1,2,3
34,60244765c42379101f6ec166,2,18,1,2,1
35,5edb83da3d15358034dc62f7,1,25,1,2,4
36,5f4fc1ce3f09db0c6dde3281,2,31,1,2,1
37,60192bf99697980171541ca4,2,30,1,2,Other
38,5ec79d5d4f89b82002134fe1,2,22,1,2,4
39,5f06eefaf3fc742667b4e79d,2,34,1,2,4
40,5f5c0a54a38ae61d4c3b5b4c,2,18,1,2,1
41,5fa37e6477c85568e82079be,2,22,1,2,4
42,5ebe561cbf4d9b0008d11d73,2,19,1,2,1
43,5f3a96015cb42d0cf9901e47,2,19,4,1,1
45,5e79e6cc9ed00e017413f004,1,22,1,2,3
46,5ffeda658dceee5b2fda51b4,1,23,1,2,3
47,5e3e25c6f2160b0a292a1b3d,2,22,1,2,1
49,5f248b7b1bde03086270bd37,1,24,1,2,3
50,5f2821cb25deb5052ffe1ba9,2,24,1,1,4
51,5e5e962069269b0254cf7e1b,2,20,1,2,1
52,605a007fe72fcf200b4791a0,1,32,1,1,2
53,5eeddc9a4c5f9a2187efb1d7,2,21,1,2,1
54,5f7014ba8655415e9dddc1b7,2,22,1,2,3
55,5dde93f5c944d1e014e642ad,2,19,1,2,Other
56,5ecea9e1977bba0f26643f9e,2,25,1,2,1
57,5f03bed029e8985e5a6a5bd4,2,32,4,2,3
58,602714550ac9cb4d00ac732c,1,20,1,2,3
60,5bc623acd2bea100010c808e,2,28,1,2,1
